#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2023-08-07 11:59:51 EDT     (vaww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 02087183 NEUSE RIVER NEAR FALLS, NC
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	12s	7s	6s	21s	15s
USGS	02087183	1	1961-03-23 10:45:00	EST	Yes	JDS	USGS	6.33	4080	Poor	0.06	2.60		NONE
USGS	02087183	2	1961-03-24 13:45:00	EST	Yes	LHC/RSS	USGS	6.65	4440	Unspecified	0.22	2.70		NONE
USGS	02087183	3	1961-03-27 09:50:00	EST	Yes	LHC/RSS	USGS	5.54	2700	Fair	0.13	2.10		NONE
USGS	02087183	4	1961-08-07 12:00:00	EDT	Yes	WHH/HCG	USGS	3.80	667	Poor	0.00	2.30	Clear	NONE
USGS	02087183	5	1961-12-13 12:55:00	EST	Yes	WHH	USGS	1.00	1110	Fair	0.00	2.30	DebrisLight	NONE
USGS	02087183	6	1962-01-07 11:45:00	EST	Yes	GDG	USGS	3.05	5540	Fair	0.00	2.80		NONE
USGS	02087183	7	1962-01-08 11:35:00	EST	Yes	WHH/JFT	USGS	3.38	7270	Fair	0.16	5.00	Clear	NONE
USGS	02087183	8	1962-01-09 09:10:00	EST	Yes	CMR/HCG	USGS	3.81	8290	Fair	0.00	4.60	DebrisModerate	NONE
USGS	02087183	9	1962-01-11 14:10:00	EST	Yes	WHH/ROS	USGS	2.73	5870	Fair	-0.10	3.30	DebrisHeavy	NONE
USGS	02087183	10	1962-02-27 09:20:00	EST	Yes	SGT	USGS	2.32	4460	Fair	-0.07	2.40		NONE
USGS	02087183	11	1962-03-06 11:55:00	EST	Yes	RSS	USGS	0.64	990	Unspecified	0.00	2.10		NONE
USGS	02087183	12	1962-11-12 11:55:00	EST	Yes	LAM/JFT	USGS	3.33	6220	Good	0.05	4.20	DebrisModerate	NONE
USGS	02087183	13	1968-03-14 10:30:00	EST	Yes	BCR/MLW	USGS	2.40	4030	Unspecified				NONE
USGS	02087183	14A	1968-09-03 11:45:00	EDT	Yes	EDG	USGS	23.47	26.2	Fair	0.00	1.50		NONE
USGS	02087183	14B	1968-09-04 11:30:00	EDT	Yes	BCR	USGS	23.52	11.9	Good	0.00	1.80		NONE
USGS	02087183	14C	1968-09-06 12:35:00	EDT	Yes	BCR	USGS	23.54	11.3	Good	0.00	0.80		NONE
USGS	02087183	14D	1968-09-09 09:56:00	EDT	Yes	BCR/NMJ	USGS	23.36	29.5	Good	0.00	1.40		NONE
USGS	02087183	14E	1968-09-12 13:30:00	EDT	Yes	BCR	USGS	23.55	10.8	Good	0.00	1.10		NONE
USGS	02087183	14F	1968-09-16 08:50:00	EDT	Yes	BCR	USGS	23.57	10.6	Good	0.00	1.00		NONE
USGS	02087183	14G	1968-09-18 08:43:00	EDT	Yes	WGS	USGS	23.54	12.2	Good	0.00	1.30		NONE
USGS	02087183	14H	1968-09-23 10:45:00	EDT	Yes	RJP	USGS	23.61	7.66	Unspecified	0.04	1.00		NONE
USGS	02087183	14I	1968-09-25 09:53:00	EDT	Yes	BCR	USGS	23.51	14.8	Good	0.00	0.80		NONE
USGS	02087183	14J	1968-09-26 07:55:00	EDT	Yes	EDG	USGS	23.55	12.0	Good	0.00	0.80		NONE
USGS	02087183	14K	1968-09-30 09:00:00	EDT	Yes	BCR	USGS	23.59	10.1	Good	0.00	0.50		NONE
USGS	02087183	14L	1969-02-28 09:55:00	EST	Yes	WLH	USGS	22.37	281	Fair	0.00	1.50		NONE
USGS	02087183	14M	1969-08-05 11:55:00	EDT	Yes	RMB	USGS	20.01	3060	Good	0.03	2.00		NONE
USGS	02087183	14N	1970-06-25 13:35:00	EDT	Yes	GKR	USGS	1.99	37.9	Unspecified	0.00	0.90		NONE
USGS	02087183	14P	1970-06-25 14:35:00	EDT	Yes	GKR	USGS	1.99	37.5	Unspecified	0.00	0.80		NONE
USGS	02087183	14Q	1970-07-09 10:00:00	EDT	Yes	HCG/NMJ	USGS	2.27	68.3	Good	0.00	0.50	Clear	NONE
USGS	02087183	14R	1970-07-09 10:30:00	EDT	Yes	HCG/NMJ	USGS	2.26	67.3	Good	0.00	0.30	Clear	NONE
USGS	02087183	14S	1970-07-11 07:10:00	EDT	Yes	HER	USGS	6.80	1460	Fair	1.80	3.40	DebrisHeavy	NONE
USGS	02087183	14T	1970-07-11 11:28:00	EDT	Yes	HER	USGS	8.17	1850	Poor	1.12	3.50	DebrisHeavy	NONE
USGS	02087183	14U	1970-07-11 13:57:00	EDT	Yes	HER	USGS	9.20	2230	Unspecified	0.77	4.50	DebrisHeavy	NONE
USGS	02087183	14V	1970-07-12 09:45:00	EDT	Yes	HER	USGS	11.86	3440	Unspecified	0.36	3.30		NONE
USGS	02087183	14W	1970-08-10 10:07:00	EDT	Yes	LRM/HCG	USGS	2.64	132	Good	0.00	0.80		NONE
USGS	02087183	14X	1970-09-15 11:00:00	EDT	Yes	SGT	USGS	1.74	15.2	Good	-0.01	0.40		NONE
USGS	02087183	14Y	1970-09-15 11:25:00	EDT	Yes	SGT	USGS	1.74	14.9	Good	-0.01	0.50		NONE
USGS	02087183	14Z	1970-09-17 12:55:00	EDT	Yes	LRM	USGS	1.66	9.71	Good	0.01	0.60		NONE
USGS	02087183	15A	1970-10-05 14:15:00	EDT	Yes	SGT	USGS	1.69	11.5	Unspecified	0.00	0.50		NONE
USGS	02087183	15B	1970-11-17 15:10:00	EST	Yes	SGT	USGS	4.92	707	Fair	0.14	1.30		NONE
USGS	02087183	15C	1970-11-18 14:00:00	EST	Yes	HER/HCG	USGS	3.63	346	Good	-0.02	0.50	Clear	NONE
