#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2023-08-07 11:59:53 EDT     (vaww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 0208726005 CRABTREE CR AT EBENEZER CHURCH RD NR RALEIGH, NC
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	12s	7s	6s	21s	15s
USGS	0208726005	1	1987-11-12 11:15:00	EST	Yes	RJA	USGS	2.62	10.0	Good	0.00	0.50	DebrisModerate	NONE
USGS	0208726005	2	1987-12-16 10:08:00	EST	Yes	TKM	USGS	3.32	44.5	Fair	-0.01	0.50	DebrisModerate	NONE
USGS	0208726005	3	1988-01-20 13:40:00	EST	Yes	RJA	USGS	5.12	250	Unspecified	0.01	0.50		NONE
USGS	0208726005	4	1988-01-29 15:58:00	EST	Yes	TKM	USGS	3.60	76.8	Fair	0.00	0.40	Clear	NONE
USGS	0208726005	5	1988-03-09 09:15:00	EST	Yes	RJA	USGS	2.58	15.1	Good	0.00	0.50	DebrisModerate	NONE
USGS	0208726005	6	1988-04-20 15:00:00	EDT	Yes	RJA	USGS	3.34	58.8	Good	0.00		DebrisHeavy	NONE
USGS	0208726005	7	1988-06-01 16:20:00	EDT	Yes	RJA	USGS	2.37	6.52	Good	0.00	0.30	Clear	NONE
USGS	0208726005	8	1988-07-12 14:20:00	EDT	Yes	TKM/JMK	USGS	2.36	5.70	Fair	-0.01	1.20	Clear	NONE
USGS	0208726005	9	1988-08-19 08:40:00	EDT	Yes	RJA	USGS	2.34	4.91	Good	0.00	0.30	Clear	NONE
USGS	0208726005	10	1988-10-14 10:00:00	EDT	Yes	RJA/RMJ	USGS	2.45	9.51	Good	0.00	0.60	DebrisLight	NONE
USGS	0208726005	11	1988-12-01 09:35:00	EST	Yes	TKM/RJA	USGS	3.91	97.6	Good	0.00	1.00	Clear	NONE
USGS	0208726005	12	1989-01-31 12:44:00	EST	Yes	TLM/BFP	USGS	2.50	13.6	Good	0.00	0.70	Clear	NONE
USGS	0208726005	13	1989-02-22 09:40:00	EST	Yes	BFP/TLM	USGS	8.51	827	Fair	0.02	1.20	Unspecifed	NONE
USGS	0208726005	14	1989-02-23 12:20:00	EST	Yes	BFP/TLM	USGS	7.22	635	Fair	-0.04	1.00	Unspecifed	NONE
USGS	0208726005	15	1989-03-27 14:20:00	EST	Yes	BFP	USGS	5.37	312	Good	-0.04	1.30	Unspecifed	NONE
USGS	0208726005	16	1989-05-02 09:25:00	EDT	Yes	BFP	USGS	8.64	1000	Fair	-0.02	1.00	Clear	NONE
USGS	0208726005	17	1989-05-24 09:22:00	EDT	Yes	TKM	USGS	3.12	40.9	Fair	0.00	0.50	Clear	NONE
USGS	0208726005	18	1989-07-21 10:15:00	EDT	Yes	TKM	USGS	3.77	91.6	Fair	-0.01	0.50	Clear	NONE
USGS	0208726005	19	1989-09-13 14:15:00	EDT	Yes	TKM	USGS	0.82	8.63	Fair	0.00	0.50	Clear	NONE
USGS	0208726005	20	1989-11-13 12:18:00	EST	Yes	TKM	USGS	1.83	60.5	Fair	-0.01	0.50	Clear	NONE
USGS	0208726005	21	1990-01-09 15:18:00	EST	Yes	TLM	USGS	3.87	70.0	Good	0.00	0.40	Clear	NONE
USGS	0208726005	22	1990-03-12 14:49:00	EST	Yes	AJP	USGS	1.84	67.5	Good	0.00	0.30	Clear	NONE
USGS	0208726005	23	1990-04-26 09:15:00	EDT	Yes	TKM	USGS	1.29	30.7	Fair	0.00	0.50	Clear	NONE
USGS	0208726005	24	1990-06-07 15:51:00	EDT	Yes	TKM	USGS	1.30	32.7	Fair	0.00	0.70	Clear	NONE
USGS	0208726005	25	1990-07-19 09:15:00	EDT	Yes	TKM/VLP	USGS	0.87	8.20	Good	0.00	0.80	DebrisModerate	NONE
USGS	0208726005	26	1990-08-31 09:28:00	EDT	Yes	TKM	USGS	0.85	6.95	Fair	0.00	0.50	DebrisModerate	NONE
USGS	0208726005	27	1990-10-04 10:19:00	EDT	Yes	TKM	USGS	0.78	4.88	Fair	0.00	0.50	DebrisModerate	NONE
USGS	0208726005	28	1990-11-27 10:58:00	EST	Yes	TKM	USGS	1.16	5.26	Fair	0.00	0.60	DebrisHeavy	NONE
USGS	0208726005	29	1991-01-08 09:38:00	EST	Yes	TKM	USGS	4.67	344	Fair	-0.01	1.80	Clear	NONE
USGS	0208726005	30	1991-02-22 10:20:00	EST	Yes	BCR/WSC	USGS	1.62	16.1	Fair	0.09	4.40	Clear	NONE
USGS	0208726005	31	1991-03-18 11:07:00	EST	Yes	BAA	USGS	4.33	292	Good	0.26	1.00	Clear	NONE
USGS	0208726005	32	1991-03-21 09:05:00	EST	Yes	SAF/TLM	USGS	3.09	136	Good	0.00	0.30	Clear	NONE
USGS	0208726005	33	1991-03-26 10:30:00	EST	Yes	SAF	USGS	2.10	38.2	Good	0.01	1.50	Clear	NONE
USGS	0208726005	34	1991-04-08 10:10:00	EDT	Yes	TKM/RES	USGS	2.67	84.9	Fair	0.00	1.00	DebrisModerate	NONE
USGS	0208726005	35	1991-05-07 12:00:00	EDT	Yes	SAF	USGS	1.36	8.95	Good	0.00	1.00	DebrisHeavy	NONE
USGS	0208726005	36	1991-05-20 09:30:00	EDT	Yes	TKM/RES	USGS	2.74	117	Good	-0.06	0.50	DebrisModerate	NONE
USGS	0208726005	37	1991-05-20 13:45:00	EDT	Yes	TKM/RES	USGS	2.82	102	Good	0.00	0.50	DebrisModerate	NONE
USGS	0208726005	38	1991-07-08 15:30:00	EDT	Yes	TLM/JRE	USGS	1.28	23.7	Good	0.00	0.20	Clear	NONE
USGS	0208726005	39	1991-08-20 08:20:00	EDT	Yes	TLM	USGS	1.08	17.4	Good	-0.01	0.30	Clear	NONE
USGS	0208726005	40	1991-10-01 14:35:00	EDT	Yes	TLM	USGS	1.15	17.4	Good	-0.01	0.30	Clear	NONE
USGS	0208726005	41	1991-11-18 10:35:00	EST	Yes	TLM	USGS	1.50	17.6	Good	-0.01	0.50	Clear	NONE
USGS	0208726005	42	1992-01-08 16:10:00	EST	Yes	TLM	USGS	2.96	164	Good	-0.02	0.50	Clear	NONE
USGS	0208726005	43	1992-02-14 15:35:00	EST	Yes	TLM	USGS	0.94	11.0	Good	0.01	0.40	Clear	NONE
USGS	0208726005	44	1992-03-11 08:17:00	EST	Yes	TLM/MLL	USGS	2.92	163	Good	0.01	0.50	Clear	NONE
USGS	0208726005	45	1992-05-11 08:48:00	EDT	Yes	TLM	USGS	1.04	13.1	Good	0.01	0.50	Clear	NONE
USGS	0208726005	46	1992-06-16 09:10:00	EDT	Yes	AJP/KES	USGS	4.82	380	Fair	-0.08	0.50	Clear	NONE
USGS	0208726005	47	1992-06-16 13:38:00	EDT	Yes	AJP/KES	USGS	4.44	336	Good	-0.04	0.50	Clear	NONE
USGS	0208726005	48	1992-06-17 11:45:00	EDT	Yes	BCR/JRE	USGS	3.15	169	Good	-0.06	0.80		NONE
USGS	0208726005	49	1992-07-22 14:17:00	EDT	Yes	TLM	USGS	1.03	10.6	Good	0.00	0.30	Clear	NONE
USGS	0208726005	50	1992-10-05 10:38:00	EDT	Yes	TLM/MAP	USGS	3.38	199	Good	-0.01	0.50	Clear	NONE
USGS	0208726005	51	1992-12-07 13:00:00	EST	Yes	wsc/bab	USGS	2.02	59.4	Fair			Clear	NONE
USGS	0208726005	52	1993-07-14 15:42:00	EDT	Yes	rjb/bab	USGS	0.94	5.90	Fair			Clear	NONE
USGS	0208726005	53	1993-08-09 14:10:00	EDT	Yes	AJP/JMT	USGS	1.37	24.8	Good	0.00	1.00	Clear	NONE
USGS	0208726005	54	1993-10-01 09:11:00	EDT	Yes	AJP	USGS	0.84	5.29	Fair	0.00	1.00	DebrisLight	NONE
USGS	0208726005	55	1993-11-19 13:15:00	EST	Yes	AJP	USGS	1.73	7.41	Poor	0.00	0.90	DebrisHeavy	NONE
USGS	0208726005	56	1997-06-03 09:20:00	EDT	Yes	FK	USGS	7.48	531	Fair	-0.17	1.00	Clear	NONE
USGS	0208726005	57	1997-06-04 10:35:00	EDT	Yes	SDE	USGS	6.29	262	Fair	-0.02	0.50	Clear	NONE
USGS	0208726005	58	1997-06-06 07:10:00	EDT	Yes	SDE	USGS	4.48	84.9	Fair	-0.01	0.60	Clear	NONE
USGS	0208726005	60	1997-06-24 13:30:00	EDT	Yes	FK	USGS	3.13	10.4	Fair	0.00	0.50	Clear	NONE
USGS	0208726005	59	1997-06-24 14:00:00	EDT	Yes	FK	USGS	3.12	10.3	Fair	-0.02	0.50	Clear	NONE
USGS	0208726005	61	1997-07-24 11:40:00	EDT	Yes	GDC/RES	USGS	14.09	2580	Unspecified	0.09	0.70		NONE
USGS	0208726005	62	1997-07-25 08:00:00	EDT	Yes	SDE/JIM	USGS	8.50	774	Fair	-0.08	0.80	Clear	NONE
USGS	0208726005	63	1997-07-25 12:10:00	EDT	Yes	SDE/JIM	USGS	8.09	689	Fair	-0.09	0.80	Clear	NONE
USGS	0208726005	64	1997-08-11 13:30:00	EDT	Yes	FK	USGS	3.20	12.3	Fair	-0.01	0.50	Clear	NONE
USGS	0208726005	65	1997-08-20 13:30:00	EDT	Yes	GDC	USGS	3.02	6.30	Poor	-0.03	0.80	Clear	NONE
USGS	0208726005	66	1997-09-08 13:00:00	EDT	Yes	F K/R S	USGS	3.05	7.77	Poor	-0.01	0.60	Clear	NONE
USGS	0208726005	67	1997-10-27 13:10:00	EST	Yes	GDC	USGS	4.02	47.3	Good	0.02	0.80	Clear	NONE
USGS	0208726005	68	1997-12-02 08:30:00	EST	Yes	BAA	USGS	4.23	60.1	Fair	-0.02	1.00	Clear	NONE
USGS	0208726005	69	1998-01-08 10:10:00	EST	Yes	DGS	USGS	6.97	391	Poor	0.08	0.50	Clear	NONE
USGS	0208726005	70	1998-01-08 11:15:00	EST	Yes	DGS	USGS	7.30	500	Fair	0.18	0.50	Clear	NONE
USGS	0208726005	71	1998-01-08 16:27:00	EST	Yes	DGS	USGS	7.72	597	Fair	-0.07	0.40	Clear	NONE
USGS	0208726005	72	1998-01-29 13:12:00	EST	Yes	BAA	USGS	8.43	828	Fair			Unspecifed	NONE
USGS	0208726005	73	1998-02-04 10:15:00	EST	Yes	FRK/DOW	USGS	11.78	1860	Unspecified	-0.02	1.00		NONE
