#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2023-08-07 11:59:54 EDT     (vaww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 02087275 CRABTREE CREEK AT HWY 70 AT RALEIGH, NC
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	12s	7s	6s	21s	15s
USGS	02087275	1A	1972-12-15 17:10:00	EST	Yes	BCR	USGS	11.65	3160	Unspecified				NONE
USGS	02087275	1B	1973-02-02 11:30:00	EST	Yes	HCG/ARP	USGS	25.28	9930	Unspecified				NONE
USGS	02087275	1C	1973-06-29 09:35:00	EDT	Yes	BCR/KLL	USGS	26.12	10400	Fair	-1.30	1.30		NONE
USGS	02087275	1D	1978-04-26 12:00:00	EST	Yes	CG	USGS	8.70	6050	Unspecified				NONE
USGS	02087275	1	1988-02-18 15:45:00	EST	Yes	TLM	USGS	5.02	71.5	Fair	0.00	0.60	Clear	NONE
USGS	02087275	2	1988-03-17 10:40:00	EST	Yes	AJP	USGS	4.64	33.2	Good	0.00	0.90	Clear	NONE
USGS	02087275	3	1988-05-02 10:30:00	EDT	Yes	AJP/TKM	USGS	4.40	19.5	Good	0.00	0.50	Clear	NONE
USGS	02087275	4	1988-06-10 12:46:00	EDT	Yes	TKM	USGS	4.99	58.5	Fair	-0.03	0.50	Clear	NONE
USGS	02087275	5	1988-07-07 10:00:00	EDT	Yes	AJP/RJA	USGS	4.11	7.18	Good	0.00	0.80	Clear	NONE
USGS	02087275	6	1988-08-04 16:00:00	EDT	Yes	AJP	USGS	4.24	11.7	Fair	0.00	1.20	Clear	NONE
USGS	02087275	7	1988-09-16 09:45:00	EDT	Yes	AJP	USGS	4.29	14.2	Good	0.00	0.50	Clear	NONE
USGS	02087275	8	1988-10-04 14:52:00	EDT	Yes	AJP	USGS	6.40	265	Fair	0.01	1.20	Clear	NONE
USGS	02087275	9	1988-10-05 11:27:00	EDT	Yes	AJP	USGS	5.86	170	Fair	-0.01	0.80	Clear	NONE
USGS	02087275	10	1988-12-02 14:20:00	EST	Yes	AJP/TLM	USGS	5.11	78.7	Fair	0.01	1.00	Clear	NONE
USGS	02087275	11	1989-02-08 08:17:00	EST	Yes	TLM	USGS	5.08	75.3	Good	0.01	0.50	Clear	NONE
USGS	02087275	12	1989-02-21 12:31:00	EST	Yes	TLM/BFP	USGS	11.57	1190	Fair	2.00	1.50		NONE
USGS	02087275	13	1989-02-23 10:15:00	EST	Yes	BFP/TLM	USGS	8.32	629	Fair	-0.12	1.00		NONE
USGS	02087275	14	1989-05-24 11:08:00	EDT	Yes	TKM	USGS	4.78	55.2	Fair	0.00	0.50	Clear	NONE
USGS	02087275	15	1989-07-21 13:13:00	EDT	Yes	TKM	USGS	5.33	113	Fair	0.00	0.60	Clear	NONE
USGS	02087275	16	1989-09-14 12:37:00	EDT	Yes	TKM	USGS	4.27	16.1	Fair	0.00	0.40	Clear	NONE
USGS	02087275	17	1989-11-14 09:03:00	EST	Yes	TKM	USGS	4.94	66.9	Fair	0.00	0.50	Clear	NONE
USGS	02087275	18	1990-01-12 15:26:00	EST	Yes	TLM	USGS	4.98	61.3	Good	0.03	0.40	DebrisLight	NONE
USGS	02087275	19	1990-03-13 12:20:00	EST	Yes	AJP	USGS	4.89	51.8	Fair	-0.04	0.90	Clear	NONE
USGS	02087275	20	1990-04-26 10:30:00	EDT	Yes	TKM	USGS	4.71	46.0	Fair	0.00	0.60	Clear	NONE
USGS	02087275	21	1990-06-08 10:23:00	EDT	Yes	TKM/VLP	USGS	4.68	43.8	Fair	-0.01	0.90	Clear	NONE
USGS	02087275	22	1990-07-19 12:03:00	EDT	Yes	TKM/VLP	USGS	4.41	24.1	Good	0.00	0.50	Clear	NONE
USGS	02087275	23	1990-08-31 12:00:00	EDT	Yes	TKM	USGS	4.26	13.9	Fair	0.00	0.50	Clear	NONE
USGS	02087275	24	1990-10-04 12:12:00	EDT	Yes	TKM	USGS	4.15	7.97	Fair	0.00	0.50	DebrisLight	NONE
USGS	02087275	25	1990-11-20 13:10:00	EST	Yes	JLC	USGS	4.16	11.4	Unspecified	0.00	0.80		NONE
USGS	02087275	26	1991-04-08 13:35:00	EDT	Yes	TKM/RES	USGS	5.20	95.7	Good	0.01	0.80	Clear	NONE
USGS	02087275	27	1991-08-20 10:42:00	EDT	Yes	TLM	USGS	4.40	22.8	Good	0.01	0.30	Clear	NONE
USGS	02087275	28	1991-10-01 12:25:00	EDT	Yes	TLM	USGS	4.49	24.8	Good	-0.02	0.30	Clear	NONE
USGS	02087275	29	1997-06-18 12:55:00	EDT	Yes	SDE/GDC	USGS	5.32	69.7	Unspecified	-0.02	0.30	Clear	NONE
USGS	02087275	30	1997-06-24 15:15:00	EDT	Yes	F K	USGS	4.72	20.4	Good	-0.01	0.50	Clear	NONE
USGS	02087275	31	1997-06-24 15:45:00	EDT	Yes	F K	USGS	4.71	19.9	Good	0.00	0.50	Clear	NONE
USGS	02087275	32	1997-07-24 13:10:00	EDT	Yes	GDC/RES	USGS	16.49	3760	Poor	-0.23	0.70		NONE
USGS	02087275	34	1997-07-25 10:35:00	EDT	Yes	JIM/SDE	USGS	9.66	957	Fair	-0.09	0.80	Clear	NONE
USGS	02087275	33	1997-07-25 13:40:00	EDT	Yes	JIM/SDE	USGS	9.36	879	Fair	-0.10	0.60	Clear	NONE
USGS	02087275	35	1997-08-11 12:30:00	EDT	Yes	F K	USGS	4.70	21.2	Good	0.00	0.50	Clear	NONE
USGS	02087275	36	1997-08-20 14:50:00	EDT	Yes	GDC	USGS	4.52	11.2	Good	0.00	0.90	Clear	NONE
USGS	02087275	37	1997-10-27 14:10:00	EST	Yes	GDC	USGS	5.24	57.1	Good	0.02	1.00	Clear	NONE
USGS	02087275	38	1997-12-02 10:35:00	EST	Yes	BAA	USGS	5.39	71.7	Fair	-0.02	1.00	Clear	NONE
USGS	02087275	39	1998-01-08 13:15:00	EST	Yes	DGS	USGS	8.16	618	Unspecified	0.09	0.50	Clear	NONE
USGS	02087275	40	1998-01-08 14:55:00	EST	Yes	DGS	USGS	8.33	739	Fair	0.04	0.80	Clear	NONE
USGS	02087275	41	1998-02-04 12:00:00	EST	Yes	F K/D W	USGS	12.48	2080	Unspecified	-0.10	1.00	Clear	NONE
USGS	02087275	42	1998-02-05 14:30:00	EST	Yes	F K/S H	USGS	10.45	1440	Fair	-0.01	0.50	Clear	NONE
USGS	02087275	43	1998-03-19 08:10:00	EST	Yes	FRK/BAA	USGS	17.34	4360	Fair	0.36	1.00	Unspecifed	NONE
USGS	02087275	44	1998-03-31 14:38:00	EST	Yes	JMT	USGS	5.46	93.5	Good	0.01	0.80		NONE
USGS	02087275	45	1998-04-02 09:11:00	EST	Yes	GDC/APC	USGS	5.48	96.0	Good	-0.02	1.10	Clear	NONE
USGS	02087275	46	1998-05-18 12:58:00	EDT	Yes	JMT	USGS	4.82	40.5	Fair	0.00	0.60		NONE
USGS	02087275	47	1998-06-22 13:05:00	EDT	Yes	JMT	USGS	4.56	22.0	Fair	-0.01	0.60		NONE
USGS	02087275	48	1998-08-11 12:40:00	EDT	Yes	JMT	USGS	5.16	74.5	Fair	-0.02	0.60		NONE
USGS	02087275	49	1998-10-05 12:11:00	EDT	Yes	JMT	USGS	4.59	24.5	Good	-0.02	0.70		NONE
USGS	02087275	50	1998-10-30 11:41:00	EST	Yes	JMT	USGS	4.36	12.7	Fair	0.00	0.40		NONE
USGS	02087275	51	1998-11-20 12:44:00	EST	Yes	JMT	USGS	4.72	31.9	Fair	-0.02	1.00		NONE
USGS	02087275	52	1999-01-21 13:41:00	EST	Yes	JMT	USGS	5.72	131	Fair	0.01	0.60		NONE
USGS	02087275	53	1999-03-01 12:45:00	EST	Yes	JMT	USGS	5.23	83.6	Fair	0.00	0.60		NONE
