#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2023-08-07 11:59:56 EDT     (vaww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 02087324 CRABTREE CREEK AT US 1 AT RALEIGH, NC
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	12s	7s	6s	21s	15s
USGS	02087324	1	1972-12-15 20:10:00	EST	Yes	BCR/NMJ	USGS	13.40	3860	Good	-0.02	1.00		NONE
USGS	02087324	2	1973-02-02 15:15:00	EST	Yes	HCG/AP	USGS	17.36	9760	Unspecified				NONE
USGS	02087324	3	1973-06-29 11:50:00	EDT	Yes	BCR/KLM	USGS	17.89	13500	Fair	-0.15	0.90		NONE
USGS	02087324	4	1990-06-11 10:53:00	EDT	Yes	TKM/VLP	USGS	0.74	42.1	Good	-0.01	0.90	Clear	NONE
USGS	02087324	5	1990-07-24 12:09:00	EDT	Yes	TKM	USGS	0.37	22.5	Good	0.00	0.70	Clear	NONE
USGS	02087324	6	1990-08-31 15:14:00	EDT	Yes	TKM	USGS	0.45	21.6	Good	0.00	0.70	Clear	NONE
USGS	02087324	7	1990-10-03 14:00:00	EDT	Yes	TKM	USGS	0.21	12.1	Good	0.00	0.50	Clear	NONE
USGS	02087324	8	1991-01-09 13:20:00	EST	Yes	TKM	USGS	3.15	374	Good	-0.09	1.00	Clear	NONE
USGS	02087324	9	1991-03-05 08:45:00	EST	Yes	SF	USGS	3.14	331	Fair	-0.12	2.30	Clear	NONE
USGS	02087324	10	1991-03-18 14:00:00	EST	Yes	BAA/RS	USGS	4.25	549	Good	0.00	0.90	Clear	NONE
USGS	02087324	11	1991-03-21 10:05:00	EST	Yes	TLM/SAF	USGS	1.84	160	Good	0.00	0.40	Clear	NONE
USGS	02087324	12	1991-03-26 12:50:00	EST	Yes	SAF	USGS	0.96	63.7	Good	-0.01	1.20	Clear	NONE
USGS	02087324	13	1991-05-07 13:30:00	EDT	Yes	SAF	USGS	0.37	22.9	Good	0.00	1.10	Clear	NONE
USGS	02087324	14	1991-05-20 11:26:00	EDT	Yes	TKM/RES	USGS	2.53	253	Fair	-0.02	0.70	Clear	NONE
USGS	02087324	15	1991-05-20 15:32:00	EDT	Yes	TKM/RES	USGS	2.66	256	Good	-0.05	0.70	Clear	NONE
USGS	02087324	16	1991-05-21 11:20:00	EDT	Yes	TKM/RES	USGS	2.06	180	Good	-0.04	0.60	Clear	NONE
USGS	02087324	17	1991-06-20 10:00:00	EDT	Yes	TKM	USGS	5.73	841	Fair	-1.23	1.00	DebrisLight	NONE
USGS	02087324	18	1991-07-08 12:43:00	EDT	Yes	TLM/JRE	USGS	0.66	44.0	Good	0.00	0.30	Clear	NONE
