#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2023-08-07 11:59:59 EDT     (vaww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 0208732885 MARSH CREEK NEAR NEW HOPE, NC
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	12s	7s	6s	21s	15s
USGS	0208732885	1	1983-12-28		Yes	LAE	USGS	3.41	35.9	Good	-0.01	0.40	DebrisModerate	NONE
USGS	0208732885	2	1984-01-11		Yes	SSH	USGS	7.74	385	Unspecified	-0.32	0.70		NONE
USGS	0208732885	3	1984-01-11		Yes	SSH	USGS	7.22	314	Unspecified	-0.48	0.70		NONE
USGS	0208732885	4	1984-01-11		Yes	SSH	USGS	4.95	139	Unspecified	-0.60	0.50		NONE
USGS	0208732885	5	1984-01-11		Yes	SSH/JKC	USGS	3.68	51.0	Unspecified	-0.05	0.70		NONE
USGS	0208732885	6	1984-03-06 10:55:00	EST	Yes	BCR	USGS	4.19	75.0	Unspecified	-0.06	0.30		NONE
USGS	0208732885	7	1984-03-28		Yes	RGB/AJP	USGS	6.82	294	Fair	-0.28	0.40		NONE
USGS	0208732885	8	1984-05-11		Yes	AJP	USGS	2.61	4.57	Good	0.00	0.50	DebrisModerate	NONE
USGS	0208732885	10	1984-05-29		Yes	JMW	USGS	9.53	706	Fair	0.45	0.30		NONE
USGS	0208732885	11	1984-05-29		Yes	JMW/SSH	USGS	10.32	1120	Good	0.10	0.30		NONE
USGS	0208732885	12	1984-05-29		Yes	JMW	USGS	10.43	1190	Good	0.04	0.30		NONE
USGS	0208732885	13	1984-05-29		Yes	JMW	USGS	10.41	1290	Good	-0.05	0.30		NONE
USGS	0208732885	9	1984-05-29		Yes	JMW	USGS	8.27	420	Fair	0.05	0.30		NONE
USGS	0208732885	14	1984-06-13		Yes	AJP	USGS	2.46	3.10	Good	0.00	0.30		NONE
USGS	0208732885	15	1984-06-29		Yes	AJP	USGS	3.26	24.6	Fair	-0.02	0.30		NONE
USGS	0208732885	16	1984-06-29		Yes	AJP	USGS	3.24	24.2	Fair	-0.03	0.30		NONE
USGS	0208732885	17	1984-08-08		Yes	RGB/AJP	USGS	2.53	2.88	Good	-0.06	0.30		NONE
USGS	0208732885	18	1984-09-19		Yes	AJP	USGS	2.52	2.30	Good	0.00	0.30	DebrisLight	NONE
USGS	0208732885	19	1984-11-19		Yes	AJP	USGS	2.52	1.96	Good	0.00	0.60	Clear	NONE
USGS	0208732885	20	1985-01-07		Yes	RJA	USGS	2.61	4.06	Fair	0.01	1.10	DebrisLight	NONE
USGS	0208732885	21	1985-02-01		Yes	RGB	USGS	3.87	56.8	Fair	-0.05	0.50	Clear	NONE
USGS	0208732885	22	1985-02-13		Yes	AJP	USGS	2.80	11.6	Fair	0.00	0.20	Clear	NONE
USGS	0208732885	23	1985-03-26		Yes	AJP	USGS	2.64	3.95	Good	0.00	0.50	DebrisLight	NONE
USGS	0208732885	24	1985-05-06		Yes	AJP	USGS	2.54	2.46	Good	0.00	0.50	DebrisModerate	NONE
USGS	0208732885	25	1985-06-07		Yes	RJA/RGB	USGS	2.48	1.20	Good	0.00	0.20	DebrisModerate	NONE
USGS	0208732885	26	1985-07-29		Yes	AJP/TKM	USGS	2.51	2.61	Fair	0.00	1.10	Clear	NONE
USGS	0208732885	27	1985-09-09		Yes	TKM	USGS	2.40	1.16	Fair	0.00	0.80	DebrisLight	NONE
USGS	0208732885	28	1985-10-24		Yes	TKM	USGS	2.46	1.73	Fair	-0.01	0.80	DebrisLight	NONE
USGS	0208732885	29	1985-11-04		Yes	TKM	USGS	3.03	25.3	Poor	0.23	0.50	DebrisLight	NONE
USGS	0208732885	30	1985-11-04		Yes	TKM	USGS	3.62	39.0	Poor	0.18	0.50	DebrisLight	NONE
USGS	0208732885	31	1985-12-05		Yes	TKM	USGS	2.52	3.33	Fair	0.00	0.50	Clear	NONE
USGS	0208732885	32	1986-01-16		Yes	TKM	USGS	2.45	2.10	Fair	0.00	0.30	DebrisLight	NONE
