#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2023-08-07 12:00:01 EDT     (vaww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 02087337 WALNUT CREEK AT BUCK JONES ROAD AT RALEIGH, NC
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	12s	7s	6s	21s	15s
USGS	02087337	0001	2018-08-16 14:31:41	EDT	Yes	MVM/AJG	USGS	0.94	0.09	Poor			DebrisLight	NONE
USGS	02087337	0002	2018-08-29 14:01:21	EDT	Yes	MVM	USGS	0.94	0.27	Poor	0.00	0.21	DebrisModerate	NONE
USGS	02087337	0003	2018-09-15 10:44:59	EDT	Yes	MVM	USGS	1.53	32.4	Fair	-0.10	0.45	Clear	NONE
USGS	02087337	0004	2018-10-11 14:42:46	EDT	Yes	DAW/PSS	USGS	4.84	388	Poor	0.17	0.10		NONE
USGS	02087337	0005	2018-10-11 14:59:29	EDT	Yes	DAW/PSS	USGS	5.11	427	Poor	0.27	0.20		NONE
USGS	02087337	0006	2018-10-11 16:10:00	EDT	Yes	DAW/PSS	USGS	6.00	844	Poor	0.07	0.20		NONE
USGS	02087337	0007	2018-11-15 12:40:54	EST	Yes	MVM/AJG	USGS	2.18	72.1	Poor	0.12	0.35	Clear	NONE
USGS	02087337	0008	2018-11-15 13:39:37	EST	No									
USGS	02087337	0009	2018-11-28 10:16:52	EST	Yes	MVM	USGS	1.03	1.18	Fair	0.00	0.45	DebrisModerate	NONE
USGS	02087337	0010	2019-03-06 09:09:28	EST	Yes	MVM	USGS	1.10	2.44	Poor	0.00	0.46	DebrisLight	NONE
USGS	02087337	0011	2019-05-01 10:02:44	EDT	Yes	MVM	USGS	1.00	0.82	Fair	0.00	0.56	VegetationLight	NONE
USGS	02087337	0012	2019-05-13 11:55:14	EDT	Yes	MVM	USGS	2.22	87.2	Poor	0.06	0.36	Clear	NONE
USGS	02087337	0013	2019-05-13 12:18:06	EDT	Yes	MVM	USGS	2.08	70.4	Poor	0.19	0.31	Clear	NONE
USGS	02087337	0014	2019-05-13 12:44:05	EDT	Yes	MVM	USGS	1.86	44.3	Poor	0.12	0.26	Clear	NONE
USGS	02087337	0015	2019-06-17 16:13:49	EDT	Yes	MVM	USGS	0.99	0.55	Poor	0.00	0.45	VegetationLight	NONE
USGS	02087337	0016	2019-08-15 10:30:54	EDT	Yes	MVM	USGS	1.03	0.97	Fair	0.00	0.45	DebrisHeavy	NONE
USGS	02087337	0017	2019-08-15 11:58:58	EDT	Yes	MVM	USGS	1.04	1.36	Fair	0.00	0.50	DebrisHeavy	NONE
USGS	02087337	0018	2019-10-17 13:24:30	EDT	Yes	MVM	USGS	0.94	0.23	Poor	0.00	0.40	DebrisLight	NONE
USGS	02087337	0019	2019-12-11 08:47:36	EST	Yes	MVM	USGS	1.44	14.4	Fair	-0.05	0.38	DebrisLight	NONE
USGS	02087337	0020	2019-12-11 09:18:58	EST	Yes	MVM	USGS	1.38	10.5	Fair	-0.04	0.40	DebrisLight	NONE
USGS	02087337	0021	2020-02-05 08:53:30	EST	Yes	MVM	USGS	1.02	0.90	Fair	0.00	0.50	Clear	NONE
