#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2023-08-07 12:00:02 EDT     (vaww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 0208734210 WALNUT CREEK AT TRAILWOOD DRIVE AT RALEIGH, NC
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	12s	7s	6s	21s	15s
USGS	0208734210	0001	2018-08-20 08:07:00	EDT	Yes	BJM	USGS	9.05	352	Fair	-0.10	0.25	Clear	NONE
USGS	0208734210	0002	2018-08-20 09:06:00	EDT	Yes	BJM	USGS	8.61	327	Fair	-0.12	0.25	Clear	NONE
USGS	0208734210	0003	2018-08-20 10:36:30	EDT	Yes	BJM	USGS	7.89	223	Fair			Clear	NONE
USGS	0208734210	0004	2018-08-20 12:48:27	EDT	Yes	MVM/AJG	USGS	7.17	185	Fair	-0.10		DebrisModerate	NONE
USGS	0208734210	0005	2018-08-21 08:39:01	EDT	Yes	MVM/EMS	USGS	5.88	79.6	Fair	-0.04	0.28	DebrisModerate	NONE
USGS	0208734210	0006	2018-08-29 11:24:18	EDT	Yes	MVM	USGS	3.94	1.39	Fair	-0.01	0.70	DebrisLight	NONE
USGS	0208734210	0007	2018-10-09 12:35:42	EDT	Yes	MVM	USGS	4.20	3.04	Fair	0.00	0.50	DebrisLight	NONE
USGS	0208734210	0008	2018-10-11 14:53:38	EDT	No									
USGS	0208734210	0009	2018-10-11 15:48:46	EDT	No									
USGS	0208734210	0010	2018-11-16 08:48:15	EST	Yes	MVM	USGS	5.24	41.2	Fair	-0.03	0.58	DebrisLight	NONE
USGS	0208734210	0011	2018-11-16 11:18:31	EST	Yes	MVM	USGS	5.10	35.7	Fair	-0.03	0.56	DebrisLight	NONE
USGS	0208734210	0012	2018-11-28 12:18:47	EST	Yes	MVM	USGS	4.21	5.42	Fair	0.01	0.61	DebrisLight	NONE
USGS	0208734210	0013	2019-02-22 12:34:54	EST	Yes	MVM	USGS	5.97	74.7	Fair	0.16	0.60	DebrisLight	NONE
USGS	0208734210	0014	2019-02-22 14:30:10	EST	Yes	MVM	USGS	6.05	80.5	Fair	-0.02	0.36	DebrisLight	NONE
USGS	0208734210	0015	2019-03-06 11:06:46	EST	Yes	MVM	USGS	4.40	12.0	Fair	-0.01	0.55	DebrisLight	NONE
USGS	0208734210	0016	2019-05-02 08:09:54	EDT	Yes	MVM	USGS	3.97	3.18	Fair	0.00	0.50	DebrisLight	NONE
USGS	0208734210	0017	2019-06-17 14:43:15	EDT	Yes	MVM	USGS	3.90	2.67	Fair	0.00	0.52	DebrisLight	NONE
USGS	0208734210	0018	2019-08-15 13:35:01	EDT	Yes	MVM	USGS	4.25	9.24	Fair	0.00	0.50	Clear	NONE
USGS	0208734210	0019	2019-10-15 15:19:00	EDT	Yes	MVM	USGS	3.83	0.81	Poor	0.00	0.50	Clear	NONE
USGS	0208734210	0020	2019-12-11 13:25:19	EST	Yes	MVM	USGS	4.63	17.4	Fair	-0.02	0.56	Clear	NONE
USGS	0208734210	0021	2020-02-05 10:41:07	EST	Yes	MVM	USGS	6.22	95.5	Fair	0.00	0.25	DebrisLight	NONE
USGS	0208734210	0022	2020-02-05 11:26:13	EST	Yes	MVM	USGS	6.22	92.0	Fair	0.00	0.26	DebrisLight	NONE
USGS	0208734210	0023	2020-02-05 11:41:52	EST	Yes	MVM	USGS	6.22	92.0	Fair	0.00	0.25	DebrisLight	NONE
USGS	0208734210	0024	2020-02-18 08:53:35	EST	Yes	MVM	USGS	4.32	5.43	Fair	0.00	0.50	FillControlChanged	NONE
USGS	0208734210	0025	2020-04-02 14:29:01	EDT	Yes	MVM	USGS	4.23	6.50	Fair	0.00	0.60	Clear	NONE
USGS	0208734210	0026	2020-04-02 15:23:26	EDT	Yes	MVM	USGS	4.23	6.68	Fair	0.00	0.60	Clear	NONE
USGS	0208734210	0027	2020-06-02 12:13:19	EDT	Yes	NAP/AJG	USGS	4.08	4.99	Fair	0.01	0.60	Clear	NONE
USGS	0208734210	0028	2020-07-23 11:01:30	EDT	Yes	DFG/SAL/MVM	USGS	3.87	1.71	Fair	0.00	0.00	Clear	NONE
USGS	0208734210	0029	2020-07-23 11:10:30	EDT	Yes	DFG/SAL/MVM	USGS	3.87	1.66	Fair	0.00	0.75	Clear	NONE
USGS	0208734210	0030	2020-08-04 09:38:15	EDT	Yes	MVM/TMB	USGS	9.33	414	Fair	-0.12	0.25	DebrisLight	NONE
