#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2023-08-07 12:00:07 EDT     (vaww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 02087359 WALNUT CREEK AT SUNNYBROOK DRIVE NR RALEIGH, NC
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	12s	7s	6s	21s	15s
USGS	02087359	1	1996-05-03 16:15:00	EDT	Yes	FRK	USGS	2.76	26.9	Good			Clear	NONE
USGS	02087359	2	1996-05-16 13:20:00	EDT	Yes	SDE	USGS	3.84	123	Fair	-0.05	0.50	Clear	NONE
USGS	02087359	3	1996-05-16 13:54:00	EDT	Yes	SDE	USGS	3.77	118	Fair	-0.07	0.50	Clear	NONE
USGS	02087359	4	1996-05-16 14:37:00	EDT	Yes	sde	USGS	3.67	103	Fair	-0.06	0.50	Clear	NONE
USGS	02087359	5	1996-05-16 15:03:00	EDT	Yes	SDE	USGS	3.61	105	Fair	-0.03	0.50	Clear	NONE
USGS	02087359	6	1996-05-22 09:56:00	EDT	Yes	SDE	USGS	2.16	10.5	Good	0.00	0.50	Clear	NONE
USGS	02087359	7	1996-06-12 13:00:00	EDT	Yes	SDE	USGS	2.66	39.0	Fair	-0.02	0.70	Clear	NONE
USGS	02087359	8	1996-07-09 12:00:00	EDT	Yes	SDE	USGS	2.25	15.0	Fair	-0.02	1.00	Clear	NONE
USGS	02087359	9	1996-07-12 13:06:00	EDT	Yes	SDE/GDC	USGS	4.28	156	Good	0.22	1.00	Clear	NONE
USGS	02087359	10	1996-07-12 14:41:00	EDT	Yes	SDE/GDC	USGS	4.68	186	Good			Clear	NONE
USGS	02087359	11	1996-07-13 07:55:00	EDT	Yes	SDE/GDC	USGS	6.65	395	Good	-0.27	1.20	Clear	NONE
USGS	02087359	12	1996-07-13 10:27:00	EDT	Yes	SDE/GDC	USGS	5.83	272	Unspecified	-0.37	0.60	Clear	NONE
USGS	02087359	13	1996-07-15 13:43:00	EDT	Yes	SDE	USGS	5.95	328	Good	0.40	0.80	Clear	NONE
USGS	02087359	14	1996-07-24 15:38:00	EDT	Yes	SDE	USGS	2.21	12.8	Good	0.00	0.50	DebrisModerate	NONE
USGS	02087359	15	1996-08-28 10:56:00	EDT	Yes	SDE	USGS	2.65	39.3	Good	-0.03	0.80	Clear	NONE
USGS	02087359	16	1996-09-06		Yes	TCS/DGS	USGS	17.03	6760	Fair				NONE
USGS	02087359	17	1996-09-09 09:42:00	EDT	Yes	SDE	USGS	5.65	243	Fair	0.24	0.80	Clear	NONE
USGS	02087359	18	1996-10-04 16:00:00	EDT	Yes	SDE	USGS	2.24	12.5	Good	-0.10	0.80	DebrisLight	NONE
