#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2023-08-07 12:00:09 EDT     (vaww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 02087580 SWIFT CREEK NEAR APEX, NC
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	12s	7s	6s	21s	15s
USGS	02087580	1	2001-10-12 10:31:00	EDT	Yes	JMT	USGS	1.85	0.73	Poor	0.00	0.20	DebrisLight	NONE
USGS	02087580	2	2001-11-13 11:51:00	EST	Yes	JMT	USGS	1.91	0.48	Poor	0.00	0.10	DebrisLight	NONE
USGS	02087580	3	2001-11-28 08:52:00	EST	Yes	PSJ	USGS	2.12	1.91	Fair	-0.01	1.30	Clear	NONE
USGS	02087580	4	2001-12-05 11:16:00	EST	Yes	ELS	USGS	1.86	1.02	Unspecified	0.01	1.00		NONE
USGS	02087580	5	2001-12-12 13:55:00	EST	Yes	DMH	USGS	2.32	11.4	Fair	-0.02	0.50	Clear	NONE
USGS	02087580	6	2001-12-20 12:15:00	EST	Yes	ELS	USGS	2.00	7.18	Unspecified	0.00	0.40		NONE
USGS	02087580	7	2001-12-28 12:15:00	EST	Yes	ELS/MC	USGS	1.89	1.87	Unspecified	0.00	0.80		NONE
USGS	02087580	8	2002-01-09 13:10:00	EST	Yes	ELS/MC	USGS	2.17	11.2	Unspecified	-0.02	0.80		NONE
USGS	02087580	9	2002-01-17 12:22:00	EST	Yes	ELS/MC	USGS	2.03	3.96	Unspecified	-0.01	0.80		NONE
USGS	02087580	10	2002-01-24 10:09:00	EST	Yes	JMT	USGS	3.68	83.6	Fair	-0.11	1.20	Unspecifed	NONE
USGS	02087580	11	2002-01-25 09:42:00	EST	Yes	ELS/MC	USGS	3.96	108	Poor	0.01	0.30	Unspecifed	NONE
USGS	02087580	12	2002-01-30 11:40:00	EST	Yes	ELS/PJ	USGS	2.16	9.52	Fair	-0.01	0.70		NONE
USGS	02087580	13	2002-02-07 09:55:00	EST	Yes	BAA/GLM	USGS	5.54	248	Poor	-0.17	0.50	Unspecifed	NONE
USGS	02087580	14	2002-03-26 10:47:00	EST	Yes	JMT	USGS	2.06	4.75	Fair	0.00	0.50	Clear	NONE
USGS	02087580	15	2002-04-01 08:54:00	EST	Yes	JMT	USGS	6.93	347	Poor	-0.48	0.30	Unspecifed	NONE
USGS	02087580	16	2002-04-01 09:34:00	EST	Yes	JMT	USGS	6.18	297	Poor	-0.37	0.30	Unspecifed	NONE
USGS	02087580	17	2002-05-28 11:15:00	EDT	Yes	JMT	USGS	1.83	0.20	Poor	0.00	0.10	Clear	NONE
USGS	02087580	18	2002-06-19 10:59:00	EDT	Yes	JMT	USGS	1.77	0.08	Poor	0.00	0.10	DebrisLight	NONE
USGS	02087580	19	2002-06-25 11:45:00	EDT	Yes	JMT	USGS	1.77	0.02	Poor	0.00	0.10	DebrisLight	NONE
USGS	02087580	20	2002-08-14 14:22:00	EDT	Yes	JMT	USGS	1.57	0.00	Unspecified				NONE
USGS	02087580	21	2002-08-23 14:50:00	EDT	Yes	JMT	USGS	1.85	0.26	Poor	0.00	0.20	DebrisLight	NONE
USGS	02087580	22	2002-09-10 13:13:00	EDT	Yes	JMT	USGS	1.91	1.10	Poor	0.00	0.70	DebrisLight	NONE
USGS	02087580	23	2002-10-21 13:44:00	EDT	Yes	JMT	USGS	3.83	116	Fair	-0.17	1.10	Unspecifed	NONE
USGS	02087580	24	2002-11-29 11:54:00	EST	Yes	JMT	USGS	1.89	3.28	Poor	0.00	0.60	Clear	NONE
USGS	02087580	25	2003-02-19 13:57:00	EST	Yes	JMT	USGS	2.80	44.5	Poor	0.00	0.60	Clear	NONE
USGS	02087580	26	2003-02-28 09:10:00	EST	Yes	JMT	USGS	4.70	182	Poor	-0.05	0.40	Unspecifed	NONE
USGS	02087580	27	2003-05-01 11:39:00	EDT	Yes	JMT	USGS	2.02	6.82	Fair	0.00	0.50	Clear	NONE
USGS	02087580	28	2003-05-28 13:41:00	EDT	Yes	JMT	USGS	2.10	9.90	Fair	0.00	0.50	Clear	NONE
USGS	02087580	29	2003-08-04 14:38:00	EDT	Yes	JMT	USGS	2.11	9.47	Poor	0.00	0.50	Clear	NONE
USGS	02087580	30	2003-08-08 12:27:00	EDT	Yes	GDC/DAW	USGS	10.45	1730	Fair	0.29	0.30	Unspecifed	NONE
USGS	02087580	31	2003-08-08 12:50:00	EDT	Yes	GDC/DAW	USGS	10.76	1910	Fair	0.03	0.20	Unspecifed	NONE
USGS	02087580	32	2003-10-17 10:33:00	EDT	Yes	JMT	USGS	1.99	3.79	Poor	0.00	0.50	DebrisLight	NONE
USGS	02087580	33	2003-11-24 13:06:00	EST	Yes	TLM	USGS	2.02	5.80	Fair	0.00	0.40	Clear	NONE
USGS	02087580	34	2004-01-16 10:37:00	EST	Yes	TLM	USGS	2.03	6.08	Good	0.00	0.30	Clear	NONE
USGS	02087580	35	2004-03-08 10:46:00	EST	Yes	TLM	USGS	2.32	22.8	Good	0.00	0.40	Clear	NONE
USGS	02087580	36	2004-04-13 11:01:00	EDT	Yes	TLM	USGS	2.60	39.9	Good	-0.01	0.50	Clear	NONE
USGS	02087580	37	2004-04-27 14:03:00	EDT	Yes	TLM	USGS	2.47	31.2	Good	-0.01	0.50	Clear	NONE
USGS	02087580	38	2004-06-07 11:15:00	EDT	Yes	JRE/TLM	USGS	1.98	4.08	Poor	0.00	1.00	Clear	NONE
USGS	02087580	39	2004-07-27 09:15:00	EDT	Yes	JRE	USGS	1.93	1.58	Poor	0.00	1.00	DebrisLight	NONE
USGS	02087580	40	2004-08-30 10:19:00	EDT	Yes	GDC/BAA	USGS	9.09	869	Fair	0.15	0.70	Clear	NONE
USGS	02087580	41	2004-10-08 07:28:00	EDT	Yes	TLM	USGS	2.03	2.48	Fair	0.00	0.40	Clear	NONE
USGS	02087580	42	2004-12-03 14:03:00	EST	Yes	TLM	USGS	2.11	4.90	Fair	0.00	0.40	Clear	NONE
USGS	02087580	43	2005-02-01 11:24:00	EST	Yes	TLM	USGS	2.30	12.2	Fair	0.00	0.40	Clear	NONE
USGS	02087580	44	2005-03-22 08:06:00	EST	Yes	TLM	USGS	2.26	12.7	Good	0.00	0.40	Clear	NONE
USGS	02087580	45	2005-05-09 14:55:00	EDT	Yes	TLM	USGS	2.11	4.94	Fair	0.00	0.40		NONE
USGS	02087580	46	2005-06-20 14:55:00	EDT	Yes	TLM/JDR	USGS	2.00	2.18	Fair	-0.04	0.40	Clear	NONE
USGS	02087580	47	2005-08-02 07:56:00	EDT	Yes	TLM	USGS	2.02	2.54	Poor	0.01	0.40	Clear	NONE
USGS	02087580	48	2005-09-08 14:17:00	EDT	Yes	TLM	USGS	1.83	0.15	Poor	0.02	0.10	Clear	NONE
USGS	02087580	49	2005-09-26 09:45:00	EDT	Yes	GLM	USGS	1.88	0.58	Poor	0.01	0.30		NONE
