#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2023-08-07 12:00:11 EDT     (vaww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 0208758850 SWIFT CREEK NEAR MCCULLARS CROSSROADS, NC
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	12s	7s	6s	21s	15s
USGS	0208758850	1	1987-12-04 12:45:00	EST	Yes	BCR/JC	USGS	1.84	3.20	Good	0.00	0.80	DebrisLight	NONE
USGS	0208758850	2	1987-12-28 10:40:00	EST	Yes	BR	USGS	2.95	33.5	Good	0.02	0.30	DebrisLight	NONE
USGS	0208758850	3	1988-01-29 13:15:00	EST	Yes	JLC	USGS	2.43	17.9	Good	0.02	0.80		NONE
USGS	0208758850	4	1988-03-14 10:04:00	EST	Yes	SAD/WSC	USGS	2.43	20.7	Fair	0.03	2.40	DebrisLight	NONE
USGS	0208758850	5	1988-04-07 11:45:00	EDT	Yes	BCR/JMW	USGS	2.20	12.4	Good	-0.09	0.90		NONE
USGS	0208758850	6	1988-05-13 10:24:00	EDT	Yes	SAD	USGS	1.71	3.18	Good	0.02	1.20	Clear	NONE
USGS	0208758850	7	1988-06-02 08:44:00	EDT	Yes	WFJ	USGS	1.58	2.61	Good	0.01	1.00	DebrisLight	NONE
USGS	0208758850	8	1988-07-01 13:23:00	EDT	Yes	SAD	USGS	1.43	0.49	Unspecified	0.04	1.10	Clear	NONE
USGS	0208758850	9	1988-07-07 09:41:00	EDT	Yes	WFJ	USGS	1.35	0.17	Good	0.00	0.20	DebrisLight	NONE
USGS	0208758850	10	1988-07-07 10:17:00	EDT	Yes	WFJ	USGS	1.35	0.18	Good	0.00	0.20	DebrisLight	NONE
USGS	0208758850	11	1988-07-20 14:36:00	EDT	Yes	SAD	USGS	1.34	0.06	Unspecified	0.00	0.70	DebrisLight	NONE
USGS	0208758850	12	1988-07-26 13:13:00	EDT	Yes	SAD	USGS	1.75	4.14	Unspecified	0.00	1.00	Clear	NONE
USGS	0208758850	13	1988-08-02 14:55:00	EDT	Yes	BCR	USGS	1.77	4.63	Good	0.06	0.60	Clear	NONE
USGS	0208758850	14	1988-08-26 09:03:00	EDT	Yes	BCR/BAA	USGS	1.36	0.06	Good	0.00	0.50	DebrisLight	NONE
USGS	0208758850	15	1988-10-13 15:20:00	EDT	Yes	SAD/BAA	USGS	1.80	0.25	Good	0.01	0.50	Clear	NONE
USGS	0208758850	16	1988-12-02 08:46:00	EST	Yes	SAD/BT	USGS	2.60	17.0	Good	0.00	1.20	Clear	NONE
USGS	0208758850	17	1989-01-13 15:00:00	EST	Yes	SAD/RHY	USGS	4.22	80.4	Good	-0.04	1.00	DebrisLight	NONE
USGS	0208758850	18	1989-02-22 11:51:00	EST	Yes	BCR/RHY	USGS	7.61	360	Good	-0.09	0.90	DebrisLight	NONE
USGS	0208758850	19	1989-02-23 08:54:00	EST	Yes	BCR/RHY	USGS	5.17	162	Good	-0.05	0.50	DebrisLight	NONE
USGS	0208758850	20	1989-02-23 15:30:00	EST	Yes	BCR/RHY	USGS	4.72	124	Good	-0.02	0.30	DebrisLight	NONE
