#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2023-08-07 12:00:14 EDT     (vaww02)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 0209782609 WHITE OAK CR AT MOUTH NEAR GREEN LEVEL, NC
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	12s	7s	6s	21s	15s
USGS	0209782609	1	1999-09-07 14:00:00	EDT	Yes	BCR/RGG	USGS	3.32	30.3	Good	-0.05	0.80	Clear	NONE
USGS	0209782609	2	1999-09-17 10:55:00	EDT	Yes	RGG	USGS	4.83	61.6	Good	-0.06	0.60	DebrisHeavy	NONE
USGS	0209782609	3	1999-09-27 11:52:00	EDT	Yes	BAA/DLH	USGS	2.78	7.29	Good	0.09	0.80	Clear	NONE
USGS	0209782609	4	1999-09-27 12:34:00	EDT	Yes	BAA/DLH	USGS	2.87	9.36	Good	0.06	0.50	Clear	NONE
USGS	0209782609	5	1999-09-27 13:20:00	EDT	Yes	BAA/DLH	USGS	2.96	11.2	Good	0.05	0.70	Clear	NONE
USGS	0209782609	6	1999-09-29 09:50:00	EDT	Yes	PSS	USGS	6.54	211	Poor	-0.17	0.70		NONE
USGS	0209782609	7	1999-09-29 10:30:00	EDT	Yes	PSS	USGS	6.40	177	Poor	-0.11	0.60		NONE
USGS	0209782609	8	1999-09-29 11:45:00	EDT	Yes	PSS	USGS	6.07	130	Poor	-0.11	0.50		NONE
USGS	0209782609	9	1999-09-29 17:38:00	EDT	Yes	PSS	USGS	5.44	87.1	Poor	-0.06	0.40		NONE
USGS	0209782609	10	1999-10-18 09:24:00	EDT	Yes	JIM	USGS	5.26	89.0	Poor	-0.20	0.70	Unspecifed	NONE
USGS	0209782609	11	1999-10-25 10:41:00	EDT	Yes	JIM	USGS	2.48	4.21	Poor	0.00	0.40	DebrisLight	NONE
USGS	0209782609	12	1999-12-06 11:37:00	EST	Yes	JIM	USGS	2.30	2.50	Poor	0.01	0.70	Clear	NONE
USGS	0209782609	13	2000-01-10 15:35:00	EST	Yes	JIM	USGS	7.40	298	Poor	0.31	0.70	Unspecifed	NONE
USGS	0209782609	14	2000-02-15 13:10:00	EST	Yes	JIM	USGS	3.62	29.8	Fair	-0.02	0.50	DebrisHeavy	NONE
USGS	0209782609	15	2000-04-10 14:10:00	EDT	Yes	JIM	USGS	2.56	6.95	Fair	-0.02	0.40	Clear	NONE
USGS	0209782609	16	2000-05-23 15:20:00	EDT	Yes	JIM	USGS	1.98	0.01	Poor	0.00	0.10	Clear	NONE
